,property name,property street,property city,property state,property zipcode,Studio,1 Bedroom,2 Bedrooms,3 Bedrooms,Latitude,Longitude,URL
157,Dupont Towers,6100 Henry Ave,Philadelphia,PA,19128,NA,"$1,475","$1,650",NA,40.03747,-75.21135,https://www.apartments.com/dupont-towers-philadelphia-pa/drqrhcj/
158,Fountain Gardens,2901 Welsh Rd,Philadelphia,PA,19152,Call for Rent,"$825 – 1,336",Call for Rent,NA,40.06171,-75.02734,https://www.apartments.com/fountain-gardens-philadelphia-pa/636stft/
159,The Glen at Shawmont Station Apartment Homes,300 Autumn River Run,Philadelphia,PA,19128,NA,"$1,365 – 2,765","$1,585 – 2,595",NA,40.04601,-75.24601,https://www.apartments.com/the-glen-at-shawmont-station-apartment-homes-philadelphia-pa/0etpg23/
160,Westbury,271 S 15th St,Philadelphia,PA,19102,"$1,220 – 1,340","$1,430 – 1,550","$1,820 – 1,940",NA,39.94742,-75.16626,https://www.apartments.com/westbury-philadelphia-pa/wm05w9h/
161,Joshua House,2607 Welsh Rd,Philadelphia,PA,19114,NA,"$960 – 1,713","$1,110 – 1,909",Call for Rent,40.06785,-75.02876,https://www.apartments.com/joshua-house-philadelphia-pa/kkk7jbb/
162,Mt. Airy Place (formerly Mt. Airy Arms),1651-1651 E Mt Airy Ave,Philadelphia,PA,19150,Call for Rent,$932,"$1,050 – 1,210",NA,40.0806,-75.17057,https://www.apartments.com/mt-airy-place-formerly-mt-airy-arms-philadelphia-pa/7lhg6my/
163,Sedgwick Gardens,440 W Sedgwick St,Philadelphia,PA,19119,NA,"$1,236",Call for Rent,NA,40.04883,-75.19467,https://www.apartments.com/sedgwick-gardens-philadelphia-pa/29j1gnc/
164,The Isle,1 Cotton St,Philadelphia,PA,19127,"$1,634","$1,730 – 1,943","$2,320 – 2,600",NA,40.02487,-75.22412,https://www.apartments.com/the-isle-philadelphia-pa/py315bs/
165,Valley High Apartments,7950 Henry Ave,Philadelphia,PA,19128,NA,"$1,165 – 1,200","$1,275 – 1,435",NA,40.05653,-75.23348,https://www.apartments.com/valley-high-apartments-philadelphia-pa/4s1f6qh/
166,Gateway Towers,3600 Gateway Dr,Philadelphia,PA,19145,NA,"$965 – 1,843","$1,425 – 2,435",NA,39.90598,-75.19166,https://www.apartments.com/gateway-towers-philadelphia-pa/yesvz7v/
167,Forest Station Apartments,450 W Byberry Rd,Philadelphia,PA,19116,NA,"$1,160","$1,040 – 1,440","$1,550",40.12449,-75.01876,https://www.apartments.com/forest-station-apartments-philadelphia-pa/2k5lf09/
168,The Packard Motor Car Building,317-321 N Broad St,Philadelphia,PA,19107,Call for Rent,"$1,695 – 1,915",Call for Rent,NA,39.95857,-75.16151,https://www.apartments.com/the-packard-motor-car-building-philadelphia-pa/561epbq/
169,Woodmere,8200 Henry Ave,Philadelphia,PA,19128,NA,"$1,233","$1,425 – 1,485",NA,40.05985,-75.23766,https://www.apartments.com/woodmere-philadelphia-pa/1e5l5h6/
170,The Sterling,1815 John F Kennedy Blvd,Philadelphia,PA,19103,"$1,824 – 4,244","$2,104 – 5,334","$3,059 – 6,826",Call for Rent,39.9545,-75.17041,https://www.apartments.com/the-sterling-philadelphia-pa/crkk3bg/
171,Haverford Court,7400 Haverford Ave,Philadelphia,PA,19151,NA,"$1,203","$1,225 – 1,325",NA,39.97572,-75.26412,https://www.apartments.com/haverford-court-philadelphia-pa/djqbvgj/
